expression,reading,meaning,tags,guid
瞳,ひとみ,pupil (of eye),JLPT JLPT_2,n?(M2yxG]e
一休み,ひとやすみ,a rest,JLPT JLPT_2,HyAGEDQ8c+
独り言,ひとりごと,"a soliloquy, a monologue, speaking to oneself",JLPT JLPT_2,oE(Rtaq/4c
ひとりでに,ひとりでに,"by itself, automatically, naturally",JLPT JLPT_2,PMPsW_S3Fc
ビニール,ビニール,vinyl,JLPT JLPT_2,"B]r_&,m?0_"
皮肉,ひにく,"cynicism, sarcasm",JLPT JLPT_2,pu+RSzayXS
日日,ひにち,date,JLPT JLPT_2,EDa-Ss*/(C
日にち,ひにち,"date (of a planned event, act, etc.), day",JLPT JLPT_2,CWiz%ru-_b
捻る,ひねる,"to twist, to turn",JLPT JLPT_2,Lsxjk5@=vY
日の入り,ひのいり,sunset,JLPT JLPT_2,rz|&d2Q(rd
日の出,ひので,sunrise,JLPT JLPT_2,"G!/]^,ZBLq"
響き,ひびき,"echo, sound",JLPT JLPT_2,l&)NHT{BaW
響く,ひびく,to resound; to affect,JLPT JLPT_2,rOD*#KgIYp
皮膚,ひふ,skin,JLPT JLPT_2,cVU`)a>m;T
冷やす,ひやす,"to cool (from room temperature), to chill, to refrigerate",JLPT JLPT_2,r#^XW.Gb>Y
ひゃっかじてん,ひゃっかじてん,encyclopedia,JLPT JLPT_2,wQ6w2}QAv=
百科事典,ひゃっかじてん,encyclopedia,JLPT JLPT_2,cvA%H8}VUp
美容,びよう,beauty of figure or form,JLPT JLPT_2,D(GaCqwm&U
表紙,ひょうし,"front cover, binding",JLPT JLPT_2,exq#1;SO@*
標識,ひょうしき,"sign, mark",JLPT JLPT_2,kDX[w^RE%^
標準,ひょうじゅん,"standard, level",JLPT JLPT_2,r$bk_|d--C
標本,ひょうほん,"example, specimen",JLPT JLPT_2,"lfNW^di`Y,"
評論,ひょうろん,"criticism, critique",JLPT JLPT_2,s}Ej!kw1~9
ビルディング,ビルディング,building,JLPT JLPT_2,J8!M@z<nsR
昼寝,ひるね,"nap (at home), siesta",JLPT JLPT_2,"x,{aI?hy6D"
広げる,ひろげる,"to spread, to extend, to expand, to enlarge, to widen, to broaden",JLPT JLPT_2,nBlnE;%M(-
広さ,ひろさ,extent,JLPT JLPT_2,lG>A7gDV9/
広場,ひろば,plaza,JLPT JLPT_2,t3z@d(WD;9
広々,ひろびろ,"extensive, spacious",JLPT JLPT_2,Eye9Pf.VGV
ピンク,ピンク,pink,JLPT JLPT_2,}M:Z#WBUl
便箋,びんせん,"writing paper, stationery",JLPT JLPT_2,DAZ9H$OhvM
瓶詰,びんづめ,"bottling, bottled",JLPT JLPT_2,N_#i?7cB#[
ファスナー,ファスナー,"fastener, zipper",JLPT JLPT_2,n!rH#}$IH?
風船,ふうせん,balloon,JLPT JLPT_2,oE(8x]l~K[
不運,ふうん,"unlucky, misfortune, bad luck",JLPT JLPT_2,Ek=uOv}jTZ
深まる,ふかまる,"to deepen, to heighten, to intensify",JLPT JLPT_2,AoEcO;]AH#
不規則,ふきそく,"irregularity, unsteadiness",JLPT JLPT_2,dufg6SP37F
普及,ふきゅう,"diffusion, spread",JLPT JLPT_2,sprE2d}(>:
付近,ふきん,"neighborhood, vicinity",JLPT JLPT_2,cz$T?0Oc1>
副～,ふく～,vice ~,JLPT JLPT_2,x7/psMz*#F
副詞,ふくし,adverb,JLPT JLPT_2,A2D&p<Rh*?
複写,ふくしゃ,"copy, duplicate",JLPT JLPT_2,"f.(+H@$,m~"
複数,ふくすう,"plural, multiple",JLPT JLPT_2,"df,MeSNnZ^"
ふくめる,ふくめる,"to include, to instruct, to make one understand",JLPT JLPT_2,E_4V!wVhjP
膨らます,ふくらます,"to swell, to expand, to inflate",JLPT JLPT_2,eZJ~QnaPP^
膨らむ,ふくらむ,"to expand, to swell (out), to become inflated",JLPT JLPT_2,gX9*eZWr#^
不潔,ふけつ,"unclean, dirty",JLPT JLPT_2,OlF9IGIpI)
更ける,ふける,"to get late, to wear on",JLPT JLPT_2,wdqFkMvXan
符号,ふごう,"sign, mark, symbol",JLPT JLPT_2,IGH`HBBpBL
夫妻,ふさい,"man and wife, married couple",JLPT JLPT_2,lo.$s^W>a[
塞がる,ふさがる,"to be plugged up, to be shut up",JLPT JLPT_2,m<:=EwmCiH
塞ぐ,ふさぐ,"to stuff, to close up, to block (up)",JLPT JLPT_2,pJWqjf]P&p
ふざける,ふざける,"to romp, to gambol, to frolic",JLPT JLPT_2,"wxJ[ZD,*?f"
無沙汰,ぶさた,neglecting to stay in contact,JLPT JLPT_2,mXdlHZOuK>
武士,ぶし,"warrior, samurai",JLPT JLPT_2,kh|VM6~+N]
部首,ぶしゅ,radical (of a kanji character),JLPT JLPT_2,rB[8HW{H3]
蒸す,ふす,"to steam (food, towel, etc.) to be hot and humid, to be sultry",JLPT JLPT_2,r!c{A-BiN=
襖,ふすま,sliding screen,JLPT JLPT_2,Gfj{ovvCbc
附属,ふぞく,"attached, belonging, affiliated",JLPT JLPT_2,b5{>br)8^T
付属,ふぞく,"being attached (to), being affiliated (to), belonging (to), going with",JLPT JLPT_2,"nR=,~i1i~~"
蓋,ふた,"cover, lid, cap",JLPT JLPT_2,tB(]=dUF]{
不通,ふつう,"suspension, interruption, stoppage, tie-up, cessation",JLPT JLPT_2,f3J`JKn<YY
物騒,ぶっそう,"dangerous, disturbed, insecure",JLPT JLPT_2,y)>wu(aHUg
ぶつぶつ,ぶつぶつ,"grumbling, complaining in a small voice",JLPT JLPT_2,qMxSqk8|QN
船便,ふなびん,surface mail (ship),JLPT JLPT_2,iRS_8@xn)m
部品,ぶひん,"parts, accessories",JLPT JLPT_2,FDy}XMy%{O
吹雪,ふぶき,snow storm,JLPT JLPT_2,v+({l-j^oM
父母,ふぼ,"father and mother, parents",JLPT JLPT_2,Ll;-.SjS/Y
踏切,ふみきり,"railway crossing, level crossing, starting line, scratch, crossover",JLPT JLPT_2,GO4{@dw9M.
麓,ふもと,"the foot, the bottom, the base (of a mountain)",JLPT JLPT_2,gGv+C<J!h4
フライパン,フライパン,"fry pan, frying pan",JLPT JLPT_2,"kaG8,BADao"
ブラウス,ブラウス,blouse,JLPT JLPT_2,QM^Obt[T3I
ぶらさげる,ぶらさげる,"to hang, to suspend, to swing",JLPT JLPT_2,zsGS&1j7k4
ブラシ,ブラシ,brush,JLPT JLPT_2,GK-sv9zX*O
プラットホーム,プラットホーム,platform,JLPT JLPT_2,bkr1lkRi*.
フリー,フリー,free,JLPT JLPT_2,LgNW8Pd}P5
振り仮名,ふりがな,pronunciation key,JLPT JLPT_2,tp7b;~);$&
振り向く,ふりむく,"to turn one's face, to turn around",JLPT JLPT_2,M!}tc99p$L
プリント,プリント,"print, handout",JLPT JLPT_2,qRutfPmJ_A
古～,ふる～,old ~,JLPT JLPT_2,yOy85A_d[A
故郷,ふるさと,"home town, birthplace",JLPT JLPT_2,fPH>SIa_~L
古里,ふるさと,"home town, birthplace",JLPT JLPT_2,L?3e+b0LsP
振舞う,ふるまう,"to behave, to conduct",JLPT JLPT_2,ocy;g4y/Lf
ブローチ,ブローチ,brooch,JLPT JLPT_2,A1E`_ZNs45
プログラム,プログラム,program,JLPT JLPT_2,CmX8s[W2Qv
風呂敷,ふろしき,"wrapping cloth, cloth wrapper",JLPT JLPT_2,dHx|An0<B^
ふわふわ,ふわふわ,"light, soft",JLPT JLPT_2,"ouE+^X,qav"
噴火,ふんか,eruption,JLPT JLPT_2,AH/^[s43Q(
分解,ぶんかい,"analysis, disassembly",JLPT JLPT_2,OB#FbcA~qO
文芸,ぶんげい,"literature, art and literature",JLPT JLPT_2,tt`(b(:~bY
文献,ぶんけん,"literature, books (reference)",JLPT JLPT_2,GAy|sEvJyq
噴水,ふんすい,water fountain,JLPT JLPT_2,"jk9H]:,ETq"
分数,ぶんすう,fraction (in math),JLPT JLPT_2,c/zwPyy+.b
文体,ぶんたい,literary style,JLPT JLPT_2,ttyj|<%!tP
分布,ぶんぷ,distribution,JLPT JLPT_2,"F&4[s,*.xr"
文房具,ぶんぼうぐ,stationery,JLPT JLPT_2,q`Zjj<5}i7
文脈,ぶんみゃく,context,JLPT JLPT_2,etxX79/6Kg
分量,ぶんりょう,"amount, quantity",JLPT JLPT_2,g>~(m<JIvb
分類,ぶんるい,classification,JLPT JLPT_2,t{7wYNi1W2
閉会,へいかい,closure,JLPT JLPT_2,cAcpFr>2mr
平気,へいき,"coolness, calmness, unconcern",JLPT JLPT_2,z(xagV[dg-
並行,へいこう,"(going) side by side, concurrent, at the same time",JLPT_1 JLPT JLPT_2,oq7x11wlwL
平日,へいじつ,weekday,JLPT JLPT_2,"PX,G5cgs03"
兵隊,へいたい,soldier,JLPT JLPT_2,toM&i}fuLv
平凡,へいぼん,"common, ordinary",JLPT JLPT_2,"s`b],MR&9J"
平野,へいや,"plain, open field",JLPT JLPT_2,L[uUr}G9/R
凹む,へこむ,"to be dented, to be indented",JLPT JLPT_2,ORF0ctV6X[
へそ,へそ,"navel, belly-button",JLPT JLPT_2,qr%|N/rOJm
隔てる,へだてる,to be shut out,JLPT JLPT_2,QSnbE1ue1O
別荘,べっそう,villa; vacation home; summer cottage,JLPT Intermediate_Japanese Genki_Ln.23 JLPT_2 Intermediate_Japanese_Ln.13 Genki,__kVP|dTW
別々,べつべつ,"separately, individually",JLPT JLPT_2,jZHX%HAw.@
ベテラン,ベテラン,veteran,JLPT JLPT_2,N$f]d}-cKp
ヘリコプター,ヘリコプター,helicopter,JLPT JLPT_2,q)Q=o$Y_hX
編集,へんしゅう,"editing, compilation, editorial (e.g., committee)",JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese,CMY4=Qx!?>
便所,べんじょ,"toilet, lavatory",JLPT JLPT_2,vS8<$f00~!
ペンチ,ペンチ,pliers (lit: pinchers),JLPT JLPT_2,ypii1BOJF+
ボーナス,ボーナス,bonus,JLPT JLPT_2 Genki_Ln.23 Genki,HVcj_;{/5t
防～,ぼう～,~ prevention,JLPT JLPT_2,b83:v}U.rY
望遠鏡,ぼうえんきょう,telescope,JLPT JLPT_2,"eUp{Pt}o,e"
方角,ほうがく,"direction, way",JLPT JLPT_2,By.)=t/^Rp
箒,ほうき,broom,JLPT JLPT_2,f:ESSC#*}*
方言,ほうげん,dialect,JLPT JLPT_2,&2X^_SdQt
坊さん,ぼうさん,"Buddhist priest, monk",JLPT JLPT_2,"Qc,c}WSH)C"
防止,ぼうし,"prevention, check",JLPT JLPT_2,Nh.L=|T~RY
方針,ほうしん,"objective, plan, policy",JLPT JLPT_2,stt^|Hkbmf
包装,ほうそう,"packing, wrapping",JLPT JLPT_2,Otsl}ZzWXb
法則,ほうそく,"law, rule",JLPT JLPT_2,iMzqR&2E$7
包帯,ほうたい,bandage,JLPT JLPT_2,jdeHukm4CR
膨大,ぼうだい,"enormous, extensive",JLPT JLPT_2,hDhfR$-iz
包丁,ほうちょう,"kitchen knife, carving knife",JLPT JLPT_2,F|0`&E;>^U
方程式,ほうていしき,equation,JLPT JLPT_2,CWj-S*o0>!
防犯,ぼうはん,prevention of crime,JLPT JLPT_2,ud5?<C%(~-
方面,ほうめん,direction; area,JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese,pYi7d6I9bd
坊や,ぼうや,boy,JLPT JLPT_2,G_?oo:%KzF
放る,ほうる,to let go,JLPT JLPT_2,"C{B(cB/!,S"
朗らか,ほがらか,"bright, cheerful, melodious",JLPT JLPT_2,"biS@,:!mm:"
朗らか(な),ほがらか(な),"cheerful, merry bright (sky, day, etc.), fine, clear",JLPT JLPT_2,B5Ml)a4{iI
牧場,ぼくじょう,farm (livestock); pasture land,JLPT JLPT_2,"D[,+7?JI;Q"
牧畜,ぼくちく,stock-farming,JLPT JLPT_2,oCu$DV_SOs
保健,ほけん,"health preservation, hygiene, sanitation",JLPT JLPT_2,"tY,tXP&1EW"
募集,ぼしゅう,recruitment,JLPT JLPT_2 Genki_Ln.13 Genki,IXW1A3^TP]
干す,ほす,"to air, to dry, to drink up",JLPT JLPT_2,G2&WPE#=vv
ポスター,ポスター,poster,JLPT_2 JLPT Genki_Ln.21 Genki,vz]f3qYXvW
北極,ほっきょく,North Pole,JLPT JLPT_2,bgjpd&a{kA
坊っちゃん,ぼっちゃん,son (of others),JLPT JLPT_2,F}X~i4B*xw
解く,ほどく,to unfasten,JLPT JLPT_2,FAb2m|I`v1
掘る,ほる,"to dig, to excavate",JLPT JLPT_2,P(Ii(].EKe
彫る,ほる,"to carve, to chisel",JLPT JLPT_2,w:dO4e{8Ji
ぼろ,ぼろ,"rag, tattered clothes",JLPT JLPT_2,"NW1R}tvp,P"
盆,ぼん,Festival of the Dead; tray,JLPT JLPT_2,qj@{)T)L*<
盆地,ぼんち,"basin (e.g., between mountains)",JLPT JLPT_2,cA[T.nYJ`t
ほんの～,ほんの～,"mere, just",JLPT JLPT_2,LD`QTJO;b~
本部,ほんぶ,headquarters,JLPT JLPT_2,j_S85q;bAx
本来,ほんらい,"essentially, naturally, by nature",JLPT JLPT_2,d:u_JtOqN$
まあまあ,まあまあ,okay; so-so; decent,JLPT JLPT_2 Genki_Ln.11 Genki,gEu+!$P11#
毎～,まい～,every ~,JLPT JLPT_2,A((3F0kA(~
枚数,まいすう,the number of flat things,JLPT JLPT_2,txIx.*SQ<<
毎度,まいど,"each time, common service-sector greeting",JLPT JLPT_2,tNEeyhC?CO
まく,まく,"to wind, to coil, to roll",JLPT JLPT_2,HX*jvL+{?S
枕,まくら,pillow,JLPT JLPT_2,r:aSt_cmjW
曲げる,まげる,"to bend, to crook, to lean",JLPT JLPT_2,c^Y!O@AS0!
まごまご,まごまご,"confused, be at a loss",JLPT JLPT_2,fsndtXo3d3
摩擦,まさつ,friction; rubbing; chafe,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,s]MF/PuI>5
まざる,まざる,"to be mixed, to be blended with, to associate with",JLPT JLPT_2,jl4iD/OMQ)
まじる,まじる,"to be mixed, to be blended with, to associate with",JLPT JLPT_2,tA}W)>X]v|
マスク,マスク,mask,JLPT JLPT_2,C!G`yaEZpC
まぜる,まぜる,"to mix, to stir",JLPT JLPT_2,N2_f#cqR]>
またぐ,またぐ,to straddle,JLPT JLPT_2,MVE!gLhDn<
跨ぐ,またぐ,"to step over/across, to stride over/across, to cross to stretch over, to span, to bridge, to saddle, to straddle",JLPT JLPT_2,G1zbrDd=1y
待合室,まちあいしつ,waiting room,JLPT JLPT_2,K=0IrWVZf4
待ち合わせる,まちあわせる,"to rendezvous, to meet at a prearranged place and time",JLPT JLPT_2,ba8vXTF^0z
街角,まちかど,street corner,JLPT JLPT_2,Qdd<k6I!B.
真っ暗,まっくら,total darkness,JLPT JLPT_2,L9D&pF9do3
真っ黒,まっくろ,pitch black,JLPT JLPT_2,uf8qa)}H~~
真っ青,まっさお,"deep blue, ghastly pale",JLPT JLPT_2,O<9;wBZ~L0
真っ先,まっさき,"foremost, beginning",JLPT JLPT_2,J/q2ej|!r|
真っ白,まっしろ,pure white,JLPT JLPT_2,J6?OmtkLVX
祭る,まつる,"to deify, to enshrine",JLPT JLPT_2,GdV0$T|dnJ
窓口,まどぐち,(ticket) window,JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese,xdz)^i]j;[
真似る,まねる,"to mimic, to imitate",JLPT JLPT_2,uJZVzYu2Ry
まぶた,まぶた,eyelids,JLPT JLPT_2,G%BvRagvhI
マフラー,マフラー,a winter scarf,JLPT_2 JLPT Genki_Ln.14 Genki,Q87-B${@Jc
間も無く,まもなく,"soon, in a short time",JLPT JLPT_2,vaV9T=MxPD
間もなく,まもなく,"soon, shortly, before long, in a short time, in a little while",JLPT JLPT_2,yu:b9)h!u&
マラソン,マラソン,marathon,JLPT JLPT_2,x1bZ*0{Jmx
稀,まれ,"rare, seldom",JLPT JLPT_2,fI}bUBDb~F
回り道,まわりみち,detour,JLPT JLPT_2,EmJ?soVNP8
満員,まんいん,"full house, no vacancy, sold out",JLPT JLPT_2,lNFNyW1^.O
マンション,マンション,"multistory apartment house, condominium",JLPT_2 JLPT Genki_Ln.14 Genki,BK;@JartEg
満点,まんてん,perfect score,JLPT JLPT_2,wMe[}41xth
未～,み～,not yet ~,JLPT JLPT_2,jlo$?jcv~p
見上げる,みあげる,"to look up at, to admire",JLPT JLPT_2,f/_Ecz_n}6
見送る,みおくる,to see off; to escort; to let pass,JLPT JLPT_2,k=}(8{DG3E
見下ろす,みおろす,"to overlook, to look down on something",JLPT JLPT_2,"J,1|nmvT6*"
見掛け,みかけ,outward appearance,JLPT JLPT_2,M{6UR7>ns)
三日月,みかづき,crescent moon,JLPT JLPT_2,"oy@Fx($<,|"
岬,みさき,cape (on coast),JLPT JLPT_2,mse@aZCB{~
みじめ,みじめ,"sad, pitiful, wretched",JLPT JLPT_2,yJ1{6!ct=e
惨めな,みじめな,"miserable, wretched, unhappy, sad, pitiable",JLPT JLPT_2,N0/%L2iZ-/
ミシン,ミシン,sewing machine,JLPT JLPT_2,d1j}k[P`go
自ら,みずから,"for one's self, personally",JLPT JLPT_2,Jm|Fujfl1c
水着,みずぎ,bathing suit (woman's),JLPT JLPT_2,o%MGb.}$^_
店屋,みせや,"store, shop",JLPT JLPT_2,vv#zIkIc#p
見出し,みだし,"heading, index",JLPT JLPT_2,H76Ot%CaXm
道順,みちじゅん,"itinerary, route",JLPT JLPT_2,e.TVg<fHh^
みっともない,みっともない,"shameful, indecent",JLPT JLPT_2 Intermediate_Japanese Intermediate_Japanese_Ln.11,NM_z!JuhP7
見詰める,みつめる,"to stare at, to gaze at",JLPT JLPT_2,ggyxS%fcH3
見直す,みなおす,"to look over again, to review",JLPT JLPT_2,i4L<t=G)#$
見慣れる,みなれる,"to become used to seeing, to be familiar with",JLPT JLPT_2,L|*x29{!8`
醜い,みにくい,ugly,JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese,>3rAC]n#o
実る,みのる,"to bear fruit, to ripen",JLPT JLPT_2,s?siXG_F6O
身分,みぶん,"position, status",JLPT JLPT_2,QAgzyPeRRn
見本,みほん,sample,JLPT JLPT_2,AWma@Eod@B
見舞う,みまう,"to ask after (health), to visit",JLPT JLPT_2,zTV4Yost{h
未満,みまん,"less than, insufficient",JLPT JLPT_2,nt1s0!NVdz
名字,みょうじ,"surname, family name",JLPT JLPT_2,"Ew6=${R8,S"
ミリ (メートル),ミリ (メートル),milli-,JLPT JLPT_2,kM;@-}8}0R
診る,みる,to examine (medically),JLPT JLPT_2,"q@#,?h7tBf"
民間,みんかん,"private, civilian",JLPT JLPT_2,vv3cePKnIT
民主～,みんしゅ～,democratic,JLPT JLPT_2,K3~5HUQIAM
民謡,みんよう,"folk song, popular song",JLPT JLPT_2,pP&9kI-fbS
無限,むげん,infinite,JLPT JLPT_2,gDON}p~:3b
無地,むじ,plain,JLPT JLPT_2,o<F6#GtsCJ
蒸し暑い,むしあつい,"humid, sultry",JLPT JLPT_2,b:SYmm(y*W
矛盾,むじゅん,"contradiction, inconsistency",JLPT JLPT_2,o%DtBbl{ew
無数,むすう,"countless number, infinite number",JLPT JLPT_2,CTm.Li6V%.
紫,むらさき,"purple color, violet",JLPT JLPT_2,L>.R5hInn&
群れ,むれ,"crowd, flock, herd",JLPT JLPT_2,B_zh7-tRm8
姪,めい,niece,JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese,kEuo{su[^Q
名～,めい～,famous ~,JLPT JLPT_2,Ojv<[]|SWz
名作,めいさく,masterpiece,JLPT JLPT_2,h/LK6GJnNJ
名詞,めいし,noun,JLPT JLPT_2,iPorDGRE(|
名刺,めいし,business card,JLPT JLPT_2,z;/559u$MG
名所,めいしょ,famous place,JLPT JLPT_2,n}/wr4@6m|
迷信,めいしん,superstition,JLPT JLPT_2,"p|p0h,n7H0"
命ずる,めいずる,"to command, to appoint",JLPT JLPT_2,Qc}ueJ@_WT
名物,めいぶつ,"famous product, special product, speciality",JLPT JLPT_2,q76$d]Uuar
銘々,めいめい,"each, individual",JLPT JLPT_2,N3.+yn]5jC
恵まれる,めぐまれる,"to be blessed with, to be rich in",JLPT JLPT_2,"s!Z[_1,-&j"
巡る,めぐる,to go around,JLPT JLPT_2,GKyShII|t^
目指す,めざす,"to aim at, to have an eye on",JLPT JLPT_2,oG%j5iiHnk
目覚し,めざまし,alarm-clock,JLPT JLPT_2,d0&ePwjG0x
目下,めした,"at present, now",JLPT JLPT_2,K0{dBA~W!9
目印,めじるし,"mark, sign, landmark",JLPT JLPT_2,q`zWJQ:%c#
目立つ,めだつ,"to be conspicuous, to stand out",JLPT JLPT_2,tk[T8cc59E
めちゃくちゃ,めちゃくちゃ,"absurd, messed up, wrecked",JLPT JLPT_2,uO5)`QU0vj
めっきり,めっきり,remarkably,JLPT JLPT_2,"wL+5c9k~v,"
めでたい,めでたい,"happy, propitious, joyous",JLPT JLPT_2,sd<5h;im*g
メニュー,メニュー,menu,JLPT Intermediate_Japanese JLPT_2 Intermediate_Japanese_Ln.6 Genki_Ln.2 Genki,Qb[M(zgy5[
めまい,めまい,"dizziness, giddiness",JLPT JLPT_2,w[+/szbGSa
目安,めやす,"criterion, aim",JLPT JLPT_2,"BF>,#hrn[;"
免税,めんぜい,tax exemption,JLPT JLPT_2,ED4QKkxoOi
面積,めんせき,area,JLPT JLPT_2,nvFYwK_.$V
面接,めんせつ,interview,JLPT JLPT_2,"G{,..f)t;T"
面倒臭い,めんどうくさい,"bother to do, tiresome",JLPT JLPT_2,v_H;=Sw:>n
モーター,モーター,motor,JLPT JLPT_2,"wBaq,e|KHL"
儲かる,もうかる,"to be profitable, to yield a profit",JLPT JLPT_2,"x^)#,>iTuV"
儲ける,もうける,"to earn, to have (bear, beget) a child",JLPT JLPT_2,knorMFQjZa
申し訳ない,もうしわけない,"inexcusable, I am sorry",JLPT JLPT_2,hK_t:TVUx-
木材,もくざい,"lumber, timber, wood",JLPT JLPT_2,p])fTiJgeI
目次,もくじ,table of contents,JLPT JLPT_2,M+OIm~SY-.
潜る,もぐる,"to dive, to pass through; to evade, to hide",JLPT JLPT_2,qj|MaKX?5J
もしかしたら,もしかしたら,"perhaps, maybe, by some chance",JLPT JLPT_2,j:FmHM43yb
もたれる,もたれる,"to lean against, to lean on",JLPT JLPT_2,Qh6t6//2Z$
凭れる,もたれる,"to lean against, to lean on, to recline on",JLPT JLPT_2,fLRY=%%+A3
モダン,モダン,modern,JLPT JLPT_2,N5!.;_=H-k
餅,もち,sticky rice cake,JLPT JLPT_2,OEgIoQ4(`q
モデル,モデル,a fashion model,JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese,hjD+7m/[]w
元々,もともと,"originally, by nature, from the start",JLPT JLPT_2,u[5ChLTTM_
物置,ものおき,storage room,JLPT JLPT_2,JX]1h3C@-y
物語る,ものがたる,"to tell, to indicate",JLPT JLPT_2,M5^N%-Zkc~
物差し,ものさし,"ruler, measure",JLPT JLPT_2,c.4G}[6Jdw
物凄い,ものすごい,"earth-shattering, staggering, to a very great extent",JLPT JLPT_2,P17Ihw(4J*
モノレール,モノレール,monorail,JLPT JLPT_2,l0q)O[^}S)
紅葉,もみじ,(Japanese) maple,JLPT JLPT_2,hx<2A]~{T*
揉む,もむ,"to rub, to crumple (up), to wrinkle",JLPT JLPT_2,0PUyW_0#W
もやす,もやす,to burn,JLPT JLPT_2,r6}Dz{1iu]
催し,もよおし,"event, festivities, function",JLPT JLPT_2,"EIU(L,`^Eh"
盛る,もる,to serve (food); to fill up; to prescribe,JLPT JLPT_2,N]CqJA)#E%
問答,もんどう,"questions and answers, dialogue",JLPT JLPT_2,A@X}Rt9?ZV
やかましい,やかましい,"to be fussy, to be overly critical",JLPT JLPT_2 Intermediate_Japanese Intermediate_Japanese_Ln.11,K^1j<(hE_K
喧しい,やかましい,"noisy, loud, clamorous, boisterous",JLPT JLPT_2,Pemm{hE0w}
夜間,やかん,"at night, nighttime",JLPT JLPT_2,l-mqt6Hx:l
やかん,やかん,kettle,JLPT JLPT_2,"tkW,zBf(b9"
やかん,やかん,kettle,JLPT JLPT_2,"tkW,zBf(b9"
役者,やくしゃ,actor,JLPT JLPT_2,v7(WAy>oTx
役所,やくしょ,"government office, public office",JLPT JLPT_2,tYh<Y-yS(<
役人,やくにん,government official,JLPT JLPT_2,fB!QQWF_/~
薬品,やくひん,"medicine(s), chemical(s)",JLPT JLPT_2,B95{D=Mv7A
役目,やくめ,"duty, business",JLPT JLPT_2,eJf:#JG.ri
火傷,やけど,"burn, scald",JLPT JLPT_2,7I)hC`TW?
夜行,やこう,"night train, night travel",JLPT JLPT_2,"y;lSnX%t,>"
矢印,やじるし,directing arrow,JLPT JLPT_2,An<(bJl4^{
やたらに,やたらに,"randomly, recklessly, blindly",JLPT JLPT_2,D]ow_1`[wN
薬局,やっきょく,"pharmacy, drugstore",JLPT JLPT_2,N194=aZ:d#
やっつける,やっつける,"to attack (an enemy), to beat, to finish off",JLPT JLPT_2,l@9):k=!@X
やっぱり,やっぱり,"after all, anyway",Genki_Ln.17 JLPT JLPT_2 Genki,"wZ<[J,i02f"
家主,やぬし,landlord,JLPT JLPT_2,DUdGHLB_/_
破く,やぶく,to tear,JLPT JLPT_2,sH>!N}Nah~
やむをえない,やむをえない,"cannot be helped, unavoidable",JLPT JLPT_2,h@Tq3wqB9&
軟らかい,やわらかい,"soft, tender, limp",JLPT JLPT_2,I1/=F(E;;H
遊園地,ゆうえんち,amusement park,JLPT JLPT_2,dC>55R1XHE
夕刊,ゆうかん,evening paper,JLPT JLPT_2,G?pT?]klj{
友好,ゆうこう,friendship,JLPT JLPT_2,qSk@+t:._p
郵送,ゆうそう,mailing,JLPT JLPT_2,"pak,%]0,3<"
夕立,ゆうだち,(sudden) evening shower (rain),JLPT JLPT_2,FOO]a;xGYZ
夕日,ゆうひ,"(in) the evening sun, setting sun",JLPT JLPT_2,BF*@*C-(FW
悠々,ゆうゆう,"quiet, calm, leisurely",JLPT JLPT_2,H<2A&m;&q9
有料,ゆうりょう,"admission-paid, toll",JLPT JLPT_2,tT[a^[Mtvi
浴衣,ゆかた,"bathrobe, informal summer kimono",JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese,h-?-L8Q|2u
行方,ゆくえ,one's whereabouts,JLPT JLPT_2,P?=c#@orQc
湯気,ゆげ,steam,JLPT JLPT_2,fcrd=}hEtO
輸血,ゆけつ,blood transfusion,JLPT JLPT_2,ui=5Rt>-i.
輸送,ゆそう,"transport, transportation",JLPT JLPT_2,nl?PiUS:Q5
油断,ゆだん,"negligence, unpreparedness",JLPT JLPT_2,"L&`<@,Zftu"
湯飲み,ゆのみ,teacup,JLPT JLPT_2,s*/X<SI&g1
湯飲,ゆのみ,teacup,JLPT JLPT_2,pwNMm0bu8j
緩い,ゆるい,"loose, lenient, slow",JLPT JLPT_2,f-=j^I>k%>
溶岩,ようがん,lava,JLPT JLPT_2,"z`5eZ>DM,!"
容器,ようき,"container, receptacle, vessel, packaging",JLPT JLPT_2,f536=$=S=m
用語,ようご,"term, terminology",JLPT JLPT_2 Intermediate_Japanese_Ln.2 Intermediate_Japanese,q6%7}a8txx
要旨,ようし,"gist, essentials, summary",JLPT JLPT_2,"v/s,Hals&5"
幼児,ようじ,"infant, baby, child",JLPT JLPT_2,Fb~|WLt[gi
容積,ようせき,"capacity, volume",JLPT JLPT_2,qn|]G/bN%y
幼稚,ようち,"infancy, childish, infantile",JLPT JLPT_2,I1`Ngu(?)h
幼稚園,ようちえん,kindergarten,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,GBPX%?VOoV
用途,ようと,"use, usefulness",JLPT JLPT_2,ydM@yIpgUu
